id,true_label,predicted_label,correct,prob_stationary,prob_deterministic_trend,prob_stochastic_trend,prob_volatility,prob_collective_anomaly,prob_contextual_anomaly,prob_mean_shift,prob_point_anomaly,prob_trend_shift,prob_variance_shift,confidence
922,0,4,0,0.2519521139909411,0.009006849314859898,0.002156100158974263,0.021328175647732435,0.5294603301188977,0.003741926115493166,0.1690103615089107,0.0065667654109156605,0.0032811939039537282,0.003496183829321523,0.5294603301188977
750,8,6,0,0.006820606032715094,0.04739102892657989,0.034097293011652804,0.005382585009225509,0.025198566134267,0.007810402383703588,0.5947616495858559,0.004180799940458259,0.269757497370477,0.004599571605065001,0.5947616495858559
115,8,6,0,0.006377324598308417,0.03646820585715215,0.011811819440249928,0.0032181693046212326,0.01903968592495923,0.007074394828149303,0.7372687931929672,0.0026619067997853117,0.1734301281142105,0.002649571939596563,0.7372687931929672
696,8,6,0,0.0034450267798702117,0.029187379370123143,0.004629772552852844,0.0013197843341883463,0.011973379196030875,0.002467732190237218,0.8966650325143865,0.0011629977066233243,0.047777441761305287,0.001371453594382559,0.8966650325143865
813,3,0,0,0.9537348112333309,0.0004475681987509782,0.0002297965446526678,0.03668058049738039,0.0034383427232284806,0.00040169529945473334,0.002139098610743067,0.0020043698199863906,0.0002502857703939868,0.0006734513020782782,0.9537348112333309
278,1,6,0,0.0032568762823145378,0.28592528954752244,0.010108302168176174,0.0024252555534155125,0.006498291715628186,0.008491856284538928,0.6537386746257308,0.0018098458862030123,0.025949059425730853,0.0017965485107396448,0.6537386746257308
765,3,0,0,0.6954464421606757,0.001989107253039246,0.0008954909525987025,0.270844428220184,0.010380848823722325,0.0014750130977462354,0.007546764748977229,0.0066887165365098,0.0010362340831070326,0.0036969541234396983,0.6954464421606757
741,9,3,0,0.0044137226419089515,0.0019613788711841697,0.0011603152280612984,0.625656241631243,0.0028477759415416956,0.001151748425126745,0.002018820021356673,0.003956759180107306,0.0011159825554249334,0.35571725550404504,0.625656241631243
868,3,0,0,0.5224725110972984,0.008292683245518084,0.002764894168451098,0.1763978460419407,0.1416027600211927,0.004863029045075769,0.09391078814974706,0.036159808253332815,0.003131608377964213,0.010404071599479158,0.5224725110972984
642,3,0,0,0.7471926251066331,0.002254594073821386,0.0009993138801227726,0.19338374996144686,0.014984740283364887,0.0016969799350257638,0.005801439456138017,0.028590141595587405,0.0012022303946610012,0.0038941853131988138,0.7471926251066331
